Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V),time
0.88,-7.8,-4.2,-4.3,0.037,5.7,22.3,-0.7,-24.3,-198.9,-43.5,999.8,20.24,3.89,0.88
0.89,-7.875,-4.305,-4.47,0.216,13.0,18.2,-7.3,-33.9,-189.3,-47.7,999.9,20.24,3.89,0.89
0.9,-7.695,-4.47,-4.31,0.078,8.5,15.7,-12.1,-14.7,-179.7,-38.7,999.8,20.24,3.89,0.9
0.91,-7.36,-4.04,-4.085,-0.473,-4.8,13.9,-11.9,-38.7,-179.7,-39.3,999.7,20.24,3.89,0.91
0.92,-7.35,-4.15,-4.165,-0.398,-15.5,7.0,-5.1,-21.9,-189.3,-45.9,999.8,20.24,3.89,0.92
0.93,-7.31,-4.425,-4.59,-0.11,-18.3,3.9,1.4,-21.9,-179.7,-38.1,999.7,20.24,3.89,0.93
0.94,-7.415,-4.695,-4.64,0.117,-15.1,6.9,2.7,-33.9,-179.7,-46.5,999.8,20.24,3.89,0.94
0.95,-7.42,-4.515,-4.355,-0.094,-24.9,7.8,3.2,-38.7,-184.5,-50.7,999.8,20.24,3.89,0.95
0.96,-7.345,-3.87,-4.185,-0.513,-26.4,2.4,5.9,-26.7,-174.9,-47.1,999.8,20.24,3.89,0.96
0.97,-7.13,-3.99,-4.54,-0.463,-12.0,-3.8,9.3,-24.3,-189.3,-39.3,999.8,20.24,3.89,0.97
0.98,-7.295,-4.245,-4.71,-0.145,-2.3,-4.0,14.4,-33.9,-174.9,-45.3,999.8,20.24,3.89,0.98
0.99,-7.295,-4.245,-4.71,-0.145,-2.3,-4.0,14.4,-33.9,-174.9,-45.3,999.8,20.24,3.89,0.99
1.0,-7.435,-4.14,-4.515,-0.177,-0.3,5.8,4.9,-31.5,-186.9,-46.5,999.8,20.24,3.89,1.0
1.01,-7.435,-4.14,-4.515,-0.177,-0.3,5.8,4.9,-31.5,-186.9,-46.5,999.9,20.29,3.89,1.01
1.02,-7.395,-3.51,-4.12,-0.646,10.8,4.3,4.3,-31.5,-196.5,-41.1,1000.0,20.29,3.89,1.02
1.03,-7.46,-3.85,-4.39,-0.337,29.5,3.6,6.7,-29.1,-189.3,-40.5,1000.0,20.29,3.89,1.03
1.04,-7.365,-4.465,-4.24,-0.21,34.6,7.9,4.0,-26.7,-179.7,-44.7,1000.0,20.29,3.89,1.04
1.05,-7.1,-4.92,-4.135,-0.233,8.7,13.0,-0.7,-21.9,-170.1,-41.7,1000.0,20.29,3.89,1.05
1.06,-7.095,-4.835,-3.93,-0.367,-18.5,12.0,-5.1,-14.7,-189.3,-42.3,1000.0,20.29,3.89,1.06
1.07,-7.16,-4.45,-3.95,-0.5,-33.4,5.3,-7.6,-24.3,-174.9,-43.5,999.9,20.29,3.89,1.07
1.08,-7.245,-3.945,-4.335,-0.491,-39.3,-0.9,-3.3,-21.9,-189.3,-42.9,999.9,20.29,3.89,1.08
1.09,-7.645,-3.89,-4.895,0.066,-31.4,-1.0,3.1,-45.9,-189.3,-46.5,999.8,20.29,3.89,1.09
1.1,-7.54,-4.08,-4.9,0.065,-11.7,3.5,3.1,-26.7,-172.5,-41.1,999.9,20.29,3.89,1.1
1.11,-7.485,-3.855,-4.62,-0.206,4.5,5.4,1.8,-24.3,-189.3,-48.3,999.9,20.29,3.89,1.11
1.12,-7.53,-3.95,-4.53,-0.175,17.2,6.0,2.6,-33.9,-184.5,-45.9,999.9,20.29,3.89,1.12
1.13,-7.63,-4.475,-4.605,0.162,16.8,4.9,1.8,-36.3,-179.7,-36.3,999.8,20.29,3.89,1.13
1.14,-7.55,-4.285,-4.595,0.012,2.6,3.9,3.4,-24.3,-182.1,-40.5,999.9,20.29,3.89,1.14
1.15,-7.67,-4.28,-4.595,0.103,-11.7,2.1,10.0,-26.7,-184.5,-38.7,999.9,20.29,3.89,1.15
1.16,-7.5,-4.205,-4.225,-0.23,-26.9,2.1,14.8,-41.1,-186.9,-40.5,999.9,20.29,3.89,1.16
1.17,-7.355,-4.09,-4.29,-0.364,-39.6,1.7,15.4,-36.3,-184.5,-43.5,999.9,20.29,3.89,1.17
1.18,-7.435,-4.15,-4.55,-0.156,-32.2,3.7,10.2,-29.1,-172.5,-44.1,999.9,20.29,3.89,1.18
1.19,-7.3,-4.205,-4.635,-0.195,-15.4,8.2,2.4,-41.1,-196.5,-43.5,999.9,20.29,3.89,1.19
1.2,-7.05,-3.98,-4.36,-0.615,-12.3,8.3,-0.7,-31.5,-196.5,-38.7,999.8,20.29,3.89,1.2
1.21,-7.285,-3.94,-4.575,-0.348,-16.5,3.6,-0.8,-33.9,-194.1,-47.7,999.9,20.29,3.89,1.21
1.22,-7.32,-3.855,-4.75,-0.27,-5.6,0.8,-1.4,-36.3,-198.9,-40.5,999.9,20.29,3.89,1.22
1.23,-7.34,-3.925,-5.005,-0.098,1.9,1.2,-2.6,-36.3,-191.7,-48.3,999.8,20.29,3.89,1.23
1.24,-7.515,-3.94,-4.96,0.019,-5.6,4.3,-3.3,-38.7,-189.3,-40.5,1000.0,20.29,3.89,1.24
1.25,-7.46,-3.84,-4.525,-0.277,-7.6,7.1,-3.6,-21.9,-203.7,-43.5,999.9,20.29,3.89,1.25
1.26,-7.25,-3.78,-4.52,-0.468,-5.9,4.5,2.6,-41.1,-191.7,-39.3,999.9,20.29,3.89,1.26
1.27,-7.4,-3.88,-4.72,-0.214,-3.4,1.6,12.4,-41.1,-196.5,-44.1,999.8,20.29,3.89,1.27
1.28,-7.375,-4.095,-4.81,-0.099,1.0,5.1,13.7,-33.9,-191.7,-40.5,999.8,20.29,3.89,1.28
1.29,-7.235,-4.02,-4.66,-0.312,0.3,8.7,9.5,-45.9,-182.1,-42.9,999.8,20.29,3.89,1.29
1.3,-7.16,-4.015,-4.675,-0.363,-7.3,9.2,7.1,-48.3,-186.9,-47.7,999.9,20.29,3.89,1.3
1.31,-6.955,-3.88,-4.82,-0.501,-7.9,6.5,2.8,-26.7,-198.9,-43.5,999.9,20.29,3.89,1.31
1.32,-7.25,-3.87,-4.805,-0.29,-5.6,0.2,0.0,-31.5,-198.9,-35.7,999.9,20.29,3.89,1.32
1.33,-7.305,-4.065,-4.89,-0.125,-7.1,-5.6,-2.3,-29.1,-201.3,-45.3,999.8,20.29,3.89,1.33
1.34,-7.34,-4.14,-4.875,-0.074,-15.6,-9.1,-5.4,-26.7,-203.7,-39.3,999.8,20.29,3.89,1.34
1.35,-7.335,-3.75,-4.8,-0.276,-32.3,-9.9,-4.0,-26.7,-206.1,-36.9,999.9,20.29,3.89,1.35
1.36,-7.385,-3.765,-4.865,-0.198,-36.9,-6.4,0.0,-29.1,-203.7,-42.9,999.9,20.29,3.89,1.36
1.37,-7.03,-4.185,-4.465,-0.49,-31.7,0.8,2.0,-31.5,-191.7,-35.1,999.8,20.29,3.89,1.37
1.38,-7.1,-3.98,-4.64,-0.441,-35.3,4.9,5.1,-41.1,-194.1,-41.1,999.8,20.29,3.89,1.38
1.39,-7.35,-3.63,-5.035,-0.19,-41.0,5.7,12.2,-38.7,-196.5,-42.9,999.9,20.29,3.89,1.39
1.4,-7.35,-3.57,-4.91,-0.277,-27.0,4.5,12.6,-31.5,-208.5,-41.7,999.9,20.29,3.89,1.4
1.41,-7.46,-3.535,-4.915,-0.202,-15.4,1.4,6.0,-38.7,-198.9,-39.3,999.8,20.29,3.89,1.41
1.42,-7.405,-3.165,-5.17,-0.24,-14.3,1.7,-2.0,-24.3,-196.5,-41.7,999.8,20.29,3.89,1.42
1.43,-7.46,-3.185,-5.175,-0.188,4.5,3.8,-6.0,-36.3,-196.5,-43.5,999.9,20.29,3.89,1.43
1.44,-7.47,-3.325,-4.955,-0.249,29.5,3.4,-5.3,-33.9,-201.3,-43.5,999.9,20.29,3.89,1.44
1.45,-7.45,-3.775,-4.925,-0.114,31.0,3.2,-6.2,-24.3,-218.1,-40.5,999.9,20.29,3.89,1.45
1.46,-7.335,-3.645,-5.05,-0.188,16.5,8.1,-12.7,-36.3,-191.7,-39.9,999.8,20.29,3.89,1.46
1.47,-7.55,-3.325,-4.98,-0.174,8.9,14.5,-12.6,-38.7,-201.3,-36.9,999.9,20.29,3.89,1.47
1.48,-7.43,-3.445,-4.965,-0.233,12.2,12.8,-6.0,-36.3,-196.5,-42.3,999.8,20.29,3.89,1.48
1.49,-7.22,-4.295,-4.96,-0.054,20.5,4.5,-2.9,-29.1,-196.5,-45.9,999.8,20.29,3.89,1.49
1.5,-7.195,-3.995,-4.9,-0.232,11.9,-2.8,-0.6,-38.7,-186.9,-36.3,999.8,20.29,3.89,1.5
1.51,-7.01,-3.63,-5.26,-0.324,3.5,-5.0,6.1,-41.1,-201.3,-41.7,999.9,20.31,3.89,1.51
1.52,-7.09,-3.925,-5.095,-0.238,18.6,-5.8,10.1,-29.1,-203.7,-48.3,999.9,20.31,3.89,1.52
1.53,-7.365,-3.95,-4.855,-0.145,27.4,-8.1,8.8,-36.3,-203.7,-40.5,999.9,20.31,3.89,1.53
1.54,-7.16,-3.44,-5.0,-0.424,24.6,-13.6,5.0,-29.1,-198.9,-40.5,1000.0,20.31,3.89,1.54
1.55,-6.51,-3.585,-5.38,-0.635,38.5,-26.4,1.2,-36.3,-208.5,-35.7,1000.0,20.31,3.89,1.55
1.56,-5.84,-3.625,-5.315,-1.121,65.5,-40.2,5.1,-43.5,-184.5,-42.9,1000.1,20.31,3.89,1.56
1.57,-5.3,-4.015,-4.805,-1.606,100.6,-53.4,21.9,-31.5,-189.3,-42.9,1000.1,20.31,3.89,1.57
1.58,-5.42,-4.55,-3.825,-1.766,141.8,-66.1,41.8,14.1,-177.3,-41.7,1000.0,20.31,3.89,1.58
1.59,-5.145,-5.69,-2.58,-1.717,147.4,-69.6,61.5,-24.3,-184.5,-49.5,1000.0,20.31,3.89,1.59
1.6,-4.605,-5.645,-1.95,-2.268,111.0,-64.7,74.9,-17.1,-191.7,-46.5,1000.1,20.31,3.89,1.6
1.61,-4.37,-5.045,-1.865,-2.88,120.5,-67.5,71.9,-29.1,-177.3,-43.5,1000.1,20.31,3.89,1.61
1.62,-4.59,-4.94,-1.6,-2.88,169.6,-81.7,56.2,4.5,-184.5,-48.9,1000.1,20.31,3.89,1.62
1.63,-4.89,-4.715,-2.02,-2.723,189.3,-95.9,41.5,-21.9,-198.9,-47.1,1000.2,20.31,3.89,1.63
1.64,-4.995,-4.2,-2.865,-2.683,192.8,-99.8,31.2,-5.1,-162.9,-51.3,1000.1,20.31,3.89,1.64
1.65,-3.76,-4.435,-2.53,-3.469,210.4,-91.6,18.7,-14.7,-167.7,-51.9,1000.1,20.31,3.89,1.65
1.66,-8.02,7.095,-11.16,5.656,211.4,-17.9,82.6,-2.7,-162.9,-51.9,1000.2,20.31,3.89,1.66
1.67,-3.88,-7.58,1.485,-1.166,225.4,85.8,201.1,-7.5,-201.3,-52.5,999.8,20.31,3.89,1.67
1.68,-9.885,-7.15,2.33,2.61,145.1,30.3,150.1,-7.5,-165.3,-45.9,999.6,20.31,3.89,1.68
1.69,-12.05,-1.13,-2.745,2.6,144.0,3.5,155.9,-9.9,-167.7,-45.3,999.4,20.31,3.89,1.69
1.7,-9.965,-3.95,0.635,0.928,192.9,13.8,215.1,-12.3,-184.5,-47.1,999.4,20.31,3.89,1.7
1.71,-10.65,-2.73,-2.35,1.433,95.7,-17.1,207.9,-9.9,-177.3,-47.7,999.4,20.31,3.89,1.71
1.72,-10.99,-3.225,-2.035,1.823,15.2,-35.4,202.1,-14.7,-189.3,-43.5,999.6,20.31,3.89,1.72
1.73,-11.765,-1.665,-2.625,2.359,48.3,-37.1,196.7,-7.5,-184.5,-46.5,999.4,20.31,3.89,1.73
1.74,-12.135,-0.895,0.18,2.359,49.0,-49.4,196.4,-14.7,-208.5,-47.1,999.4,20.31,3.89,1.74
1.75,-10.675,-1.165,-2.695,1.261,-25.9,-83.4,201.6,-36.3,-220.5,-51.9,999.5,20.31,3.89,1.75
1.76,-10.045,0.165,-1.74,0.386,-151.7,-117.0,189.3,-12.3,-230.1,-47.7,999.6,20.31,3.89,1.76
1.77,-9.655,0.03,-1.805,0.012,-168.6,-117.4,169.9,-2.7,-239.7,-47.1,999.6,20.31,3.89,1.77
1.78,-11.545,0.49,-3.46,2.252,-78.6,-96.9,159.6,-2.7,-251.7,-51.9,999.5,20.31,3.89,1.78
1.79,-10.8,0.06,-3.065,1.417,9.4,-68.4,122.6,-14.7,-258.9,-58.5,999.6,20.31,3.89,1.79
1.8,-8.905,-1.61,-0.82,-0.724,83.9,-33.5,84.2,-12.3,-258.9,-54.9,999.8,20.31,3.89,1.8
1.81,-11.155,-0.585,-2.375,1.61,106.5,-15.5,82.7,-9.9,-256.5,-51.9,999.5,20.31,3.89,1.81
1.82,-11.37,0.415,-1.06,1.617,33.8,-32.0,65.7,4.5,-266.1,-55.5,999.5,20.31,3.89,1.82
